X;Y;Type
5.08358;36.753;Orange zones
5.26369;36.481;Orange zones
5.27049;36.5388;Orange zones
5.22975;36.6369;Orange zones
4.39214;36.3851;Orange zones
4.48056;36.3485;Orange zones
4.95353;36.5751;Orange zones
4.76506;36.6213;Orange zones
5.03721;36.7018;Orange zones
4.65997;36.6159;Orange zones
4.41357;36.3514;Orange zones
4.493;36.46;Orange zones
5.22985;36.5363;Orange zones
4.77122;36.6243;Orange zones
4.71757;36.5608;Orange zones
4.65446;36.5816;Orange zones
4.8181;36.6168;Orange zones
5.05532;36.748;Orange zones
4.58615;36.5162;Orange zones
4.65514;36.4003;Orange zones
4.67743;36.6104;Orange zones
4.85671;36.6871;Orange zones
4.69613;36.6187;Orange zones
4.37895;36.3705;Orange zones
4.53546;36.4532;Orange zones
4.4652;36.3853;Orange zones
4.7752;36.6139;Orange zones
4.6083;36.4957;Orange zones
4.6863;36.6027;Orange zones
5.23166;36.4806;Orange zones
5.25391;36.4383;Orange zones
5.0731;36.6462;Orange zones
4.8945;36.6464;Orange zones
4.94735;36.6323;Orange zones
4.538895;36.463856;Orange zones
4.8445045;36.680655;Orange zones
2.69485;36.4671;Orange zones
3.22404;36.5972;Orange zones
2.8745;36.4958;Orange zones
2.84428;36.4808;Orange zones
2.88525;36.5408;Orange zones
3.192848;36.582213;Orange zones
2.9782311;36.518334;Orange zones
3.0534;36.6;Orange zones
2.857889;36.429528;Orange zones
2.77589;36.47471;Orange zones
2.657486;36.451505;Orange zones
2.806936;36.456933;Orange zones
3.69842;36.1395;Orange zones
3.76071;36.4784;Orange zones
3.58253;36.5664;Orange zones
4.06656;36.3134;Orange zones
3.59828;36.57478;Orange zones
3.89188;36.3758;Orange zones
3.56726;36.6005;Orange zones
3.77356;36.4533;Orange zones
4.23633;36.7223;Orange zones
4.19304;36.7572;Orange zones
4.26476;36.7326;Orange zones
3.83186;36.58739;Orange zones
4.045087;36.733099;Orange zones
3.09541;36.64404;Orange zones
3.04006;36.7631;Orange zones
3.1728;36.6871;Orange zones
3.0598;36.7765;Orange zones
2.89424;36.7492;Orange zones
2.94071;36.6885;Orange zones
3.05085;36.7768;Orange zones
3.25214;36.7438;Orange zones
3.0345;36.7964;Orange zones
3.171998;36.660142;Orange zones
3.08137;36.7244;Orange zones
3.0935;36.6584;Orange zones
3.17373;36.64822;Orange zones
2.98346;36.67554;Orange zones
3.15431;36.6948;Orange zones
3.03505;36.7843;Orange zones
3.26536;36.7674;Orange zones
3.07236;36.6474;Orange zones
2.98347;36.6684;Orange zones
3.208;36.7499;Orange zones
3.01555;36.6138;Orange zones
3.04417;36.79452;Orange zones
3.05764;36.6797;Orange zones
3.04127;36.7468;Orange zones
3.3055;36.2251;Orange zones
3.12014;36.2168;Orange zones
2.9443;36.1422;Orange zones
2.84522;36.2526;Orange zones
2.73789;36.2757;Orange zones
2.76441;36.2675;Orange zones
2.75983;35.86834;Orange zones
3.08239;36.2613;Orange zones
2.74288;36.2507;Orange zones
2.7732;36.2816;Orange zones
3.5305;36.2432;Orange zones
2.725;36.2813;Orange zones
3.31341;36.6579;Orange zones
3.366;36.6889;Orange zones
3.72817;36.7422;Orange zones
3.90436;36.8303;Orange zones
3.56407;36.7857;Orange zones
3.81109;36.6736;Orange zones
3.39195;36.7235;Orange zones
3.72025;36.72766;Orange zones
3.66931;36.8035;Orange zones
3.38219;36.7269;Orange zones
3.75301;36.6592;Orange zones
3.72212;36.7373;Orange zones
3.40015;36.7511;Orange zones
3.37733;36.679;Orange zones
3.60602;36.768;Orange zones
3.60502;36.7873;Orange zones
3.41369;36.7258;Orange zones
3.99497;36.82207;Orange zones
3.52469;36.7314;Orange zones
3.3699;36.6735;Orange zones
3.732866;36.72389;Orange zones
3.2577;36.704213;Orange zones
2.77193;36.5989;Orange zones
1.8514;36.3147;Orange zones
