CELLNAME;NumSteps;InnerRadius;OuterRadius;LATITUDE;LONGITUDE;ANT_HEIGHT;ANT_AZIMUTH
4A06X006_100;5;0;120;36.74967;5.05688;30;240
4A06X008_97;5;0;120;36.7341;5.04683;30;70
4A06X008_98;5;0;120;36.7341;5.04683;30;180
4A06X008_99;5;0;120;36.7341;5.04683;30;270
4A06X026_97;5;0;120;36.4392;4.67994;30;30
4A06X026_98;5;0;120;36.4392;4.67994;30;120
4A06X026_99;5;0;120;36.4392;4.67994;30;260
4A06X030_100;5;0;120;36.57514;4.95353;30;300
4A06X030_97;5;0;120;36.57514;4.95353;30;20
4A06X030_98;5;0;120;36.57514;4.95353;30;110
4A06X032_97;5;0;120;36.54072;4.61422;30;30
4A06X032_99;5;0;120;36.54072;4.61422;30;210
4A06X033_97;5;0;120;36.71264;4.97749;30;130
4A06X033_98;5;0;120;36.71264;4.97749;30;200
4A06X036_97;5;0;120;36.6159;4.65997;30;40
4A06X036_98;5;0;120;36.6159;4.65997;30;140
4A06X038_97;5;0;120;36.7479;4.9146;30;0
4A06X038_98;5;0;120;36.7479;4.9146;30;140
4A06X038_99;5;0;120;36.7479;4.9146;30;270
4A06X040_97;5;0;120;36.70092;4.697;30;70
4A06X040_98;5;0;120;36.70092;4.697;30;260
4A06X040_99;5;0;120;36.70092;4.697;30;350
4A06X047_98;5;0;120;36.74156;5.03594;30;110
4A06X052_97;5;0;120;36.66877;5.15354;30;100
4A06X052_98;5;0;120;36.66877;5.15354;30;240
4A06X057_97;5;0;120;36.46;4.493;30;60
4A06X057_98;5;0;120;36.46;4.493;30;150
4A06X057_99;5;0;120;36.46;4.493;30;240
4A06X059_97;5;0;120;36.62175;5.11628;30;50
4A06X059_98;5;0;120;36.62175;5.11628;30;240
4A06X061_97;5;0;120;36.60482;5.2008;30;35
4A06X061_98;5;0;120;36.60482;5.2008;30;180
4A06X061_99;5;0;120;36.60482;5.2008;30;270
4A06X065_97;5;0;120;36.3821;4.40345;30;100
4A06X065_98;5;0;120;36.3821;4.40345;30;250
4A06X065_99;5;0;120;36.3821;4.40345;30;320
4A06X066_97;5;0;120;36.3899;4.39098;30;10
4A06X066_98;5;0;120;36.3899;4.39098;30;90
4A06X066_99;5;0;120;36.3899;4.39098;30;290
4A06X070_97;5;0;120;36.59186;4.63155;30;0
4A06X070_98;5;0;120;36.59186;4.63155;30;140
4A06X073_97;5;0;120;36.71017;5.01475;30;40
4A06X073_98;5;0;120;36.71017;5.01475;30;200
4A06X073_99;5;0;120;36.71017;5.01475;30;290
4A06X077_100;5;0;120;36.74542;5.04042;30;210
4A06X077_97;5;0;120;36.74542;5.04042;30;30
4A06X077_98;5;0;120;36.74542;5.04042;30;160
4A06X080_97;5;0;120;36.62142;5.34355;30;70
4A06X080_98;5;0;120;36.62142;5.34355;30;180
4A06X080_99;5;0;120;36.62142;5.34355;30;310
4A06X113_97;5;0;120;36.49288;5.27867;30;160
4A06X113_98;5;0;120;36.49288;5.27867;30;250
4A06X118_97;5;0;120;36.54724;4.68972;30;0
4A06X118_98;5;0;120;36.54724;4.68972;30;120
4A06X118_99;5;0;120;36.54724;4.68972;30;250
4A06X122_97;5;0;120;36.73437;5.04121;30;60
4A06X122_99;5;0;120;36.73437;5.04121;30;300
4A06X123_97;5;0;120;36.74219;5.05988;30;20
4A06X123_98;5;0;120;36.74219;5.05988;30;160
4A06X123_99;5;0;120;36.74219;5.05988;30;300
4A06X127_97;5;0;120;36.6937;4.79468;30;140
4A06X128_97;5;0;120;36.4658;4.5492;30;40
4A06X128_98;5;0;120;36.4658;4.5492;30;230
4A06X132_97;5;0;120;36.74814;5.05349;30;60
4A06X132_98;5;0;120;36.74814;5.05349;30;140
4A06X132_99;5;0;120;36.74814;5.05349;30;220
4A06X142_97;5;0;120;36.632411;5.240719;30;50
4A06X142_98;5;0;120;36.632411;5.240719;30;140
4A06X143_100;5;0;120;36.74809;5.0498;30;340
4A06X143_97;5;0;120;36.74809;5.0498;30;30
4A06X143_99;5;0;120;36.74809;5.0498;30;230
4A06X146_97;5;0;120;36.40034;4.65514;30;50
4A06X146_98;5;0;120;36.40034;4.65514;30;140
4A06X146_99;5;0;120;36.40034;4.65514;30;320
4A06X150_98;5;0;120;36.7249;5.072319;30;210
4A06X150_99;5;0;120;36.7249;5.072319;30;300
4A06X151_100;5;0;120;36.36402;4.4857;30;340
4A06X151_97;5;0;120;36.36402;4.4857;30;70
4A06X151_99;5;0;120;36.36402;4.4857;30;250
4A06X154_97;5;0;120;36.67574;4.85162;30;0
4A06X154_98;5;0;120;36.67574;4.85162;30;120
4A06X154_99;5;0;120;36.67574;4.85162;30;240
4A06X158_98;5;0;120;36.46824;4.51979;30;120
4A06X158_99;5;0;120;36.46824;4.51979;30;220
4A06X160_97;5;0;120;36.388;4.3983;30;0
4A06X160_98;5;0;120;36.388;4.3983;30;150
4A06X160_99;5;0;120;36.388;4.3983;30;280
4A06X163_97;5;0;120;36.6318;4.6804;30;60
4A06X163_98;5;0;120;36.6318;4.6804;30;150
4A06X163_99;5;0;120;36.6318;4.6804;30;240
4A06X165_97;5;0;120;36.44494;4.41898;30;100
4A06X165_98;5;0;120;36.44494;4.41898;30;200
4A06x165_99;5;0;120;36.44494;4.41898;30;280
4A06X171_97;5;0;120;36.5402;4.6026;30;60
4A06X171_98;5;0;120;36.5402;4.6026;30;130
4A06X171_99;5;0;120;36.5402;4.6026;30;200
4A06X172_97;5;0;120;36.55404;5.23852;30;100
4A06X172_98;5;0;120;36.55404;5.23852;30;170
4A06X172_99;5;0;120;36.55404;5.23852;30;240
4A06X183_97;5;0;120;36.3936;4.39848;30;0
4A06X183_98;5;0;120;36.3936;4.39848;30;120
4A06X183_99;5;0;120;36.3936;4.39848;30;240
4A06X191_98;5;0;120;36.6112;4.6701;30;120
4A06X191_99;5;0;120;36.6112;4.6701;30;240
4A06X198_97;5;0;120;36.5839;4.93304;30;40
4A06X198_98;5;0;120;36.5839;4.93304;30;220
4A06X198_99;5;0;120;36.5839;4.93304;30;310
4A06X206_97;5;0;120;36.75986;5.0585;30;70
4A06X206_98;5;0;120;36.75986;5.0585;30;150
4A06X206_99;5;0;120;36.75986;5.0585;30;330
4A06X209_97;5;0;120;36.729;4.57924;30;190
4A06X209_98;5;0;120;36.729;4.57924;30;270
4A06X216_97;5;0;120;36.72886;4.56261;30;130
4A06X216_99;5;0;120;36.72886;4.56261;30;330
4A06X232_97;5;0;120;36.75634;5.04925;30;0
4A06X232_98;5;0;120;36.75634;5.04925;30;120
4A06X232_99;5;0;120;36.75634;5.04925;30;240
4A06X253_98;5;0;120;36.75532;5.04041;30;150
4A06X253_99;5;0;120;36.75532;5.04041;30;220
4A09X268_100;5;0;120;36.5948;3.2153;30;330
4A09X268_97;5;0;120;36.5948;3.2153;30;60
4A09X268_98;5;0;120;36.5948;3.2153;30;180
4A09X268_99;5;0;120;36.5948;3.2153;30;270
4A10X068_97;5;0;120;36.53184;3.68277;30;30
4A10X068_98;5;0;120;36.53184;3.68277;30;130
4A15X001_97;5;0;120;36.71532;4.04613;30;0
4A15X001_98;5;0;120;36.71532;4.04613;30;120
4A15X001_99;5;0;120;36.71532;4.04613;30;240
4A15X022_100;5;0;120;36.58391;3.76904;30;30
4A15X022_97;5;0;120;36.58391;3.76904;30;90
4A15X022_99;5;0;120;36.58391;3.76904;30;330
4A15X027_97;5;0;120;36.80205;4.04142;30;30
4A15X027_98;5;0;120;36.80205;4.04142;30;120
